Mata_Uang,Usia,Gender,Plan,Term,PPP,100_Ribu,150_Ribu,200_Ribu,250_Ribu,300_Ribu,350_Ribu,500_Ribu,750_Ribu,1_Juta,5_Juta
IDR,0,PRIA,Flexi Amanah,YRT,1,-,-,-,-,-,-,-,-,-,-
IDR,0,PRIA,Flexi Amanah,5,5,-,-,-,-,-,-,-,-,-,-
IDR,0,PRIA,Flexi Amanah,10,10,-,-,-,-,-,-,-,-,-,-
IDR,0,PRIA,Flexi Berkah,110,5,17.2,23.0,30.6,38.3,45.9,53.6,75.0,107.7,143.6,700.0
IDR,0,PRIA,Flexi Berkah,,10,9.0,12.1,16.1,19.2,21.5,25.1,35.9,53.9,71.8,336.5
IDR,0,PRIA,Flexi Berkah,,15,6.5,9.7,11.6,14.5,17.4,19.2,25.8,38.7,51.6,242.0
IDR,0,PRIA,Flexi Cermat,15,5,138.0,207.0,276.0,345.0,413.9,482.9,689.9,1,034.9,1,379.8,6,899.0
IDR,0,PRIA,Flexi Cermat,,10,71.2,106.8,142.5,178.1,213.7,249.3,356.2,534.2,712.3,3,561.5
IDR,0,PRIA,Flexi Cermat,25,5,81.4,122.1,162.9,203.6,244.3,285.0,407.2,610.7,760.0,3,800.0
IDR,0,PRIA,Flexi Cermat,,10,46.0,69.0,86.2,107.8,129.3,150.9,215.5,323.3,431.0,2,011.5
IDR,0,PRIA,Flexi Cermat,,15,31.4,47.0,62.7,75.0,88.2,102.9,147.0,220.5,294.0,1,372.0
IDR,0,PRIA,Flexi Cermat,35,5,47.6,71.4,89.3,111.6,133.9,156.2,223.2,334.7,446.3,2,082.5
IDR,0,PRIA,Flexi Cermat,,10,26.9,40.4,53.8,67.3,75.7,88.3,126.1,189.2,252.2,1,176.5
IDR,0,PRIA,Flexi Cermat,,15,19.4,29.1,38.8,48.5,58.2,67.9,91.0,136.4,181.9,849.0
USD,0,PRIA,Flexi Amanah,YRT,1,-,-,-,-,-,-,-,-,-,-
USD,0,PRIA,Flexi Amanah,5,5,-,-,-,-,-,-,-,-,-,-
USD,0,PRIA,Flexi Amanah,10,10,-,-,-,-,-,-,-,-,-,-
USD,0,PRIA,Flexi Berkah,110,5,7258,10206,13608,17010,20412,23814,34020,51030,68040,317500
USD,0,PRIA,Flexi Berkah,,10,3544,5316,7088,8308,9969,11631,16615,24923,33230,155050
USD,0,PRIA,Flexi Berkah,,15,2549,3824,5098,6373,7500,8365,11950,17925,23900,111500
USD,0,PRIA,Flexi Cermat,15,5,16739,25109,33478,41848,50217,58587,83695,125543,167390,836950
USD,0,PRIA,Flexi Cermat,,10,8640,12960,17280,21600,25920,30240,43200,64800,86400,432000
USD,0,PRIA,Flexi Cermat,25,5,12224,18336,24448,30560,36672,42784,61120,85568,114090,570450
USD,0,PRIA,Flexi Cermat,,10,6675,9387,12516,15645,18774,21903,31290,46935,62580,292050
USD,0,PRIA,Flexi Cermat,,15,4214,6321,7902,9878,11853,13829,19755,29633,39510,184400
USD,0,PRIA,Flexi Cermat,35,5,8624,12936,17248,21560,25872,30184,43120,64680,80490,402450
USD,0,PRIA,Flexi Cermat,,10,4426,6639,8298,10373,12447,14522,20745,31118,41490,193600
USD,0,PRIA,Flexi Cermat,,15,2981,4472,5962,7453,8385,9783,13975,20963,27950,130400
IDR,0,WANITA,Flexi Amanah,YRT,1,-,-,-,-,-,-,-,-,-,-
IDR,0,WANITA,Flexi Amanah,5,5,-,-,-,-,-,-,-,-,-,-
IDR,0,WANITA,Flexi Amanah,10,10,-,-,-,-,-,-,-,-,-,-
IDR,0,WANITA,Flexi Berkah,110,5,14.7,19.6,26.1,32.7,39.2,45.7,65.4,92.0,122.6,613.0
IDR,0,WANITA,Flexi Berkah,,10,7.7,10.8,13.8,17.2,19.2,21.5,30.7,46.0,61.3,287.5
IDR,0,WANITA,Flexi Berkah,,15,5.3,8.0,10.7,12.0,14.4,16.8,21.3,32.0,42.6,200.0
IDR,0,WANITA,Flexi Cermat,15,5,130.6,195.9,261.1,326.4,391.7,457.0,652.9,979.3,1,305.7,6,528.5
IDR,0,WANITA,Flexi Cermat,,10,69.2,103.7,138.3,172.9,207.5,242.1,345.8,518.7,691.6,3,458.0
IDR,0,WANITA,Flexi Cermat,25,5,80.8,121.2,161.6,202.0,242.4,282.8,404.1,606.1,754.3,3,771.5
